FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
200	69160	658	414	521	uk.yahoo.com
201	69818	419	441	492	uk.yahoo.com
202	70237	279	451	297	uk.yahoo.com
203	70516	339	447	667	uk.yahoo.com
204	70855	219	458	481	uk.yahoo.com
205	71074	140	464	238	uk.yahoo.com
206	71214	199	425	280	uk.yahoo.com
207	71413	140	390	282	uk.yahoo.com
208	71553	219	273	253	uk.yahoo.com
209	71772	698	194	247	uk.yahoo.com
210	72470	200	254	267	uk.yahoo.com
211	72669	219	852	815	uk.yahoo.com
212	72889	199	821	892	uk.yahoo.com
213	73088	937	217	259	uk.yahoo.com
214	74025	199	262	254	uk.yahoo.com
215	74224	359	192	273	uk.yahoo.com
216	74584	319	244	267	uk.yahoo.com
217	74902	498	280	272	uk.yahoo.com
218	75401	379	814	702	uk.yahoo.com
219	75780	997	815	871	uk.yahoo.com
220	76777	299	846	399	uk.yahoo.com
221	77076	339	852	241	uk.yahoo.com
222	77414	439	839	391	uk.yahoo.com
223	77853	159	892	367	uk.yahoo.com
224	78012	439	821	591	uk.yahoo.com
225	78451	1416	802	874	uk.yahoo.com
226	79867	439	868	879	uk.yahoo.com
227	80305	1934	948	875	uk.yahoo.com
228	82239	160	670	876	uk.yahoo.com
229	82399	359	425	880	uk.yahoo.com
230	82757	459	893	771	uk.yahoo.com
231	83216	439	968	880	uk.yahoo.com
232	83655	399	581	540	uk.yahoo.com
233	84053	140	745	551	uk.yahoo.com
234	84193	180	803	569	uk.yahoo.com
235	84373	219	568	478	uk.yahoo.com
236	84592	159	556	374	uk.yahoo.com
237	84751	199	528	320	uk.yahoo.com
238	84951	379	625	297	uk.yahoo.com
239	85329	220	847	176	uk.yahoo.com
240	85549	1336	810	137	uk.yahoo.com
241	86885	299	851	136	uk.yahoo.com
242	87184	299	1003	63	uk.yahoo.com
243	87483	479	565	169	uk.yahoo.com
244	87961	319	817	387	uk.yahoo.com
245	88280	319	837	332	uk.yahoo.com
246	88599	120	828	268	uk.yahoo.com
247	88719	359	824	206	uk.yahoo.com
248	89078	339	565	376	uk.yahoo.com
249	89416	219	649	340	uk.yahoo.com
250	89636	160	657	256	uk.yahoo.com
251	89795	498	549	166	uk.yahoo.com
252	90294	179	500	269	uk.yahoo.com
253	90473	419	427	276	uk.yahoo.com
254	90892	219	552	387	uk.yahoo.com
255	91111	199	669	420	uk.yahoo.com
256	91310	179	488	546	uk.yahoo.com
257	91490	399	480	581	uk.yahoo.com
258	91889	199	746	663	uk.yahoo.com
259	92088	279	815	735	uk.yahoo.com
260	92367	459	820	627	uk.yahoo.com
261	92826	299	949	610	uk.yahoo.com
262	93125	239	998	614	uk.yahoo.com
263	93364	199	903	404	uk.yahoo.com
264	93563	419	1005	603	uk.yahoo.com
265	93982	598	827	602	uk.yahoo.com
266	94760	419	824	595	uk.yahoo.com
